actions,boundary,bytes,cli_first_refresh_ms,client_cpu_ms,columns,columns_returned,cpu_ms,digest,first_fetch_ms,first_fetch_rx_bytes,first_result_refresh_ms,frames,image,image_id,iteration,loop_delays_over_16_7_ms,loop_delays_over_50_ms,max_loop_delay_ms,maxrss_kib,objects,one_core_cpu_percent,one_way_delay_ms,p95_loop_delay_ms,parent_cpu_ms,parent_ready_ms,pattern,process_cpu_ms,provider,pty_bytes,routines,rows,rows_returned,rx_bytes,scenario,source_sha,suggestions,suite,tables,terminal_bytes,trial,truncated,tx_bytes,variant,wall_ms,watchdog_events,worker_reported_ms
,,,329.69,,,,,,,,,,,,,,,,,,,,,,389.25143999949796,,523.5999999999999,,75411,,,,,default,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,startup,,,13,,,baseline,,,
,,,348.43,,,,,,,,,,,,,,,,,,,,,,414.17253199961124,,564.158,,75411,,,,,default,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,13,,,candidate,,,
,,,337.74,,,,,,,,,,,,,,,,,,,,,,389.59209699987696,,515.2,,75411,,,,,default,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,startup,,,14,,,baseline,,,
,,,343.68,,,,,,,,,,,,,,,,,,,,,,409.6101160002945,,537.115,,75411,,,,,default,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,14,,,candidate,,,
,,,366.41,,,,,,,,,,,,,,,,,,,,,,424.0383350006596,,546.2009999999999,,75411,,,,,disabled,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,startup,,,0,,,baseline,,,
,,,338.93,,,,,,,,,,,,,,,,,,,,,,404.46168099970237,,471.64199999999994,,75411,,,,,disabled,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,0,,,candidate,,,
,,,356.12,,,,,,,,,,,,,,,,,,,,,,423.00395100028254,,560.537,,75411,,,,,disabled,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,startup,,,1,,,baseline,,,
,,,353.36,,,,,,,,,,,,,,,,,,,,,,414.7455840002294,,475.763,,75411,,,,,disabled,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,1,,,candidate,,,
,,,385.92,,,,,,,,,,,,,,,,,,,,,,444.01222499982396,,560.489,,75411,,,,,disabled,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,startup,,,2,,,baseline,,,
,,,339.82,,,,,,,,,,,,,,,,,,,,,,389.6670069998436,,445.276,,75411,,,,,disabled,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,2,,,candidate,,,
,,,356.47,,,,,,,,,,,,,,,,,,,,,,410.43219699986366,,544.952,,75411,,,,,disabled,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,startup,,,3,,,baseline,,,
,,,323.98,,,,,,,,,,,,,,,,,,,,,,386.1407149997831,,454.435,,75411,,,,,disabled,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,3,,,candidate,,,
,,,344.88,,,,,,,,,,,,,,,,,,,,,,410.6932400000005,,541.8,,75411,,,,,disabled,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,startup,,,4,,,baseline,,,
